FID,lat,lon,Avg_m2pr_1
79,55.6483002,12.5319004,16646.85194
80,55.6475983,12.5340004,15283.60122
81,55.6453018,12.6133003,16169.95976
82,55.6459007,12.6154003,17659.10151
83,55.6450996,12.6174002,16742.72143
84,55.6458015,12.6196003,17233.15135
85,55.6547012,12.3525,12578.94737
86,55.6509018,12.4903002,17288.99106
87,55.6498985,12.5236998,15805.27348
88,55.6492004,12.5256996,15578.33097
89,55.6497993,12.5278997,15019.03432
90,55.6491013,12.5298996,16887.62815
91,55.6472015,12.6155005,18048.36864
92,55.6464996,12.6176004,18103.48806
93,55.6469994,12.6239004,15753.42466
94,55.6463013,12.6259003,16687.22455
95,55.6459999,12.6343002,16621.57417
96,55.6553001,12.3547001,11097.5134
97,55.6547012,12.4027004,11791.66667
98,55.6526985,12.4736996,14107.23708
99,55.6515999,12.4883003,18425.53191
100,55.6521988,12.4904003,16249.33221
101,55.6520996,12.4946003,12976.19048
102,55.6514015,12.4966002,15510.94057
103,55.6505013,12.5258999,16713.98807
104,55.6487007,12.6114998,18139.00613
105,55.6479988,12.6134996,17430.34056
106,55.6475983,12.6260004,17986.11111
107,55.6533012,12.4758997,14729.72973
108,55.6539993,12.4779997,14794.52055
109,55.6531982,12.4800997,14951.29704
110,55.653801,12.4821997,15684.93151
111,55.6526985,12.4968004,14342.06472
112,55.6501007,12.5886002,17764.70588
113,55.6495018,12.6094999,18653.33333
114,55.6492996,12.6135998,15725.92593
115,55.6492004,12.6177998,18096.75889
116,55.6491013,12.6219997,13380.93371
117,55.6489983,12.6261997,18057.8572
118,55.6593018,12.3361998,15434.78261
119,55.6547012,12.4759998,15500
120,55.6553001,12.4780998,13889.31169
121,55.6545982,12.4801998,15130.92474
122,55.6549988,12.4906998,12784.35796
123,55.6515007,12.6117001,16934.68672
124,55.6506996,12.6138,17159.72222
125,55.6512985,12.6159,14376.88708
126,55.6506004,12.6178999,17567.56757
127,55.6505013,12.6220999,14185.68889
128,55.6605988,12.3362999,16140.23238
129,55.6567993,12.4741001,14696.40765
130,55.6553001,12.5011997,16100
131,55.6549988,12.5367002,16229.88349
132,55.6530991,12.6035004,17499.81377
133,55.6528015,12.6119003,15384.17955
134,55.6526985,12.6160002,17142.68381
135,55.6520004,12.6181002,18222.40566
136,55.6525993,12.6202002,16777.14049
137,55.6517982,12.6222,17460.31746
138,55.6594009,12.4052,12570.39007
139,55.6599998,12.4074001,15870.43697
140,55.6562004,12.5179996,15884.591
141,55.6563988,12.5368004,16545.52058
142,55.653801,12.6014996,16357.0719
143,55.6543999,12.6035995,16191.41919
144,55.6542015,12.6120005,16065.6926
145,55.6534004,12.6140003,15922.82971
146,55.6533012,12.6182003,16706.99684
147,55.6539001,12.6203003,13968.53918
148,55.6531982,12.6224003,17261.93859
149,55.653801,12.6245003,15702.28944
150,55.6608009,12.4054003,15316.2465
151,55.6595993,12.4701996,14937.31384
152,55.6589012,12.4722004,15247.75641
153,55.6595001,12.4743004,14633.45104
154,55.6575012,12.5222998,12916.66667
155,55.655899,12.5995998,16028.36378
156,55.655201,12.6015997,15906.80597
157,55.6557999,12.6037998,16432.20339
158,55.6548996,12.6099997,15144.95269
159,55.6554985,12.6120996,16743.06092
160,55.6548004,12.6141005,13913.57011
161,55.6553993,12.6162996,14461.36561
162,55.6547012,12.6183004,16677.72821
163,55.6621017,12.4055004,15801.28205
164,55.6603012,12.4722996,15631.59588
165,55.6607018,12.4827995,15584.29674
166,55.6598015,12.4890003,15833.33333
167,55.6604004,12.4912004,16858.63861
168,55.6567001,12.5976,13569.59185
169,55.6565018,12.6016998,14680.85106
170,55.6563988,12.6058998,16459.50469
171,55.6570015,12.6080999,16781.6092
172,55.6562996,12.6100998,17292.05152
173,55.6568985,12.6121998,16797.75281
174,55.6640015,12.3888998,14456.43845
175,55.6636009,12.4013996,12064.99235
176,55.6621017,12.4556999,13898.0435
177,55.6623993,12.4703999,16857.14286
178,55.6613998,12.4807997,15684.18857
179,55.6619987,12.4828997,15985.68316
180,55.6618996,12.4870996,16810.34483
181,55.6612015,12.5122004,16840.77463
182,55.6603012,12.5184002,17544.45637
183,55.6609001,12.5205002,15971.02826
184,55.6580009,12.5977001,15861.53846
185,55.6585999,12.5998001,16833.62995
